Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS3,2013,Fighting,0,0,0.03,0,0.03
XOne,2015,Racing,0,0.03,0,0,0.03
PSP,2013,Adventure,0,0,0.03,0,0.03
PSV,2015,Adventure,0,0,0.03,0,0.03
PSV,2015,Adventure,0,0,0.03,0,0.03
PSV,2016,RPG,0,0,0.03,0,0.03
3DS,2015,RPG,0.02,0,0.01,0,0.03
PC,2014,RPG,0,0.03,0,0,0.03
PSV,2014,Adventure,0,0,0.03,0,0.03
3DS,2015,Platform,0,0,0.03,0,0.03
PS3,2014,Shooter,0.03,0,0,0,0.03
PS3,2013,Simulation,0,0,0.03,0,0.03
PC,2016,Racing,0,0.03,0,0,0.03
PC,2016,Sports,0,0.03,0,0,0.03
PSV,2015,RPG,0,0,0.03,0,0.03
XOne,2015,Adventure,0.03,0,0,0,0.03
PSV,2015,Adventure,0,0,0.03,0,0.03
3DS,2016,RPG,0,0,0.03,0,0.03
PSV,2014,Adventure,0,0,0.03,0,0.03
PSV,2015,RPG,0,0,0.03,0,0.03
PS4,2015,RPG,0,0,0.03,0,0.03
3DS,2015,Strategy,0,0,0.03,0,0.03
PC,2015,Adventure,0,0.03,0,0,0.03
PC,2016,Strategy,0,0.03,0,0,0.03
PSV,2016,Adventure,0,0,0.03,0,0.03
PSV,2015,Adventure,0,0,0.03,0,0.03
PSP,2013,Adventure,0,0,0.03,0,0.03
PC,2015,Racing,0,0.03,0,0,0.03
PSV,2013,RPG,0,0,0.03,0,0.03
XOne,2016,Sports,0,0.02,0,0,0.03
PSV,2015,Adventure,0.02,0,0,0.01,0.03
PC,2016,Racing,0,0.03,0,0,0.03
XOne,2014,Sports,0.02,0,0,0,0.03
PS3,2014,Adventure,0,0,0.03,0,0.03
X360,2014,Shooter,0.02,0,0,0,0.03
3DS,2013,Fighting,0,0,0.03,0,0.03
PC,2014,Racing,0,0.02,0,0,0.03
PSV,2014,Adventure,0,0,0.03,0,0.03
PSV,2015,Simulation,0,0,0.03,0,0.03
PSV,2015,Adventure,0,0,0.03,0,0.03
3DS,2014,Strategy,0.02,0,0,0,0.03
PS3,2015,Adventure,0,0,0.03,0,0.03
PSV,2015,RPG,0,0.01,0.01,0,0.03
PSV,2016,Adventure,0,0,0.03,0,0.03
X360,2015,Adventure,0.02,0.01,0,0,0.03
PSP,2013,Adventure,0,0,0.03,0,0.03
WiiU,2013,Sports,0,0.02,0,0,0.03
PS4,2016,Adventure,0.02,0,0,0,0.03
PSV,2016,RPG,0,0,0.02,0,0.02
PSV,2014,Adventure,0,0,0.02,0,0.02
PSV,2013,Adventure,0,0,0.02,0,0.02
PC,2016,Simulation,0,0.02,0,0,0.02
3DS,2016,Simulation,0,0.02,0,0,0.02
PS4,2014,RPG,0,0,0.02,0,0.02
PS3,2015,Adventure,0,0,0.02,0,0.02
PS4,2015,Fighting,0,0,0.02,0,0.02
X360,2016,Sports,0,0.02,0,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
PS4,2016,RPG,0,0,0.02,0,0.02
X360,2013,Adventure,0,0,0.02,0,0.02
XOne,2016,Racing,0.02,0,0,0,0.02
X360,2015,Racing,0,0.02,0,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
PSV,2016,RPG,0,0,0.02,0,0.02
PS3,2015,Fighting,0,0,0.02,0,0.02
PC,2014,Shooter,0,0.02,0,0,0.02
PC,2014,RPG,0,0.02,0,0,0.02
PC,2016,Sports,0.01,0.01,0,0,0.02
XOne,2015,Sports,0,0.02,0,0,0.02
PS3,2013,RPG,0,0,0.02,0,0.02
PS3,2014,Simulation,0,0,0.02,0,0.02
XOne,2016,Racing,0,0.02,0,0,0.02
PS3,2013,Sports,0,0.02,0,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
PS3,2014,Adventure,0,0,0.02,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
WiiU,2013,Shooter,0,0.02,0,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PS3,2014,Sports,0,0.02,0,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PC,2016,Racing,0,0.02,0,0,0.02
PS3,2013,RPG,0,0,0.02,0,0.02
PS3,2014,RPG,0,0,0.02,0,0.02
PC,2016,Shooter,0,0.02,0,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
XOne,2016,RPG,0.01,0.01,0,0,0.02
WiiU,2014,Shooter,0.02,0,0,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
3DS,2013,Adventure,0,0.02,0,0,0.02
PSV,2016,RPG,0,0,0.02,0,0.02
PSV,2014,RPG,0,0.02,0,0,0.02
PS3,2013,RPG,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0.01,0.01,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
WiiU,2013,Fighting,0,0,0.02,0,0.02
PC,2016,RPG,0,0.02,0,0,0.02
PSP,2014,Adventure,0,0,0.02,0,0.02
PC,2016,Simulation,0,0.02,0,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
PS3,2014,Adventure,0,0,0.02,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
X360,2013,Shooter,0,0.01,0,0,0.02
PS3,2013,RPG,0,0,0.02,0,0.02
PSV,2015,Strategy,0,0,0.02,0,0.02
PS4,2016,Sports,0,0.02,0,0,0.02
WiiU,2016,Platform,0.01,0.01,0,0,0.02
PC,2016,Adventure,0,0.02,0,0,0.02
PS4,2016,RPG,0,0,0.02,0,0.02
PSP,2013,Fighting,0,0,0.02,0,0.02
PS4,2016,Adventure,0.01,0.01,0,0,0.02
3DS,2015,Strategy,0,0,0.02,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PC,2013,Simulation,0,0.02,0,0,0.02
PS4,2015,Puzzle,0,0.02,0,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
PSV,2014,Racing,0,0.01,0,0,0.02
PS3,2016,Shooter,0,0.01,0,0,0.02
PSV,2014,Adventure,0,0,0.02,0,0.02
PS3,2014,Sports,0,0.02,0,0,0.02
PS4,2016,Simulation,0,0,0.02,0,0.02
PSV,2014,Adventure,0,0,0.02,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
XOne,2015,Adventure,0,0.02,0,0,0.02
PSP,2013,Strategy,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
PC,2016,Adventure,0,0.02,0,0,0.02
XOne,2015,Sports,0.02,0,0,0,0.02
Wii,2013,Sports,0,0.02,0,0,0.02
PC,2014,RPG,0,0.02,0,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
X360,2015,Sports,0,0.02,0,0,0.02
XOne,2016,Strategy,0.01,0.01,0,0,0.02
X360,2016,Shooter,0.01,0.01,0,0,0.02
X360,2015,Sports,0,0.02,0,0,0.02
PSV,2013,Sports,0,0,0.02,0,0.02
WiiU,2014,Puzzle,0,0,0.02,0,0.02
3DS,2014,Adventure,0,0,0.02,0,0.02
PS3,2014,Adventure,0,0,0.02,0,0.02
PSV,2013,Adventure,0,0,0.02,0,0.02
PS4,2016,Shooter,0.01,0,0,0,0.02
PSV,2014,Adventure,0,0,0.02,0,0.02
PC,2013,Platform,0,0.01,0,0,0.02
PSP,2013,Adventure,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
3DS,2013,Sports,0,0.01,0,0,0.02
PSV,2014,Adventure,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PS4,2016,Fighting,0,0,0.02,0,0.02
PC,2015,Simulation,0,0.01,0,0,0.02
3DS,2014,Adventure,0.01,0,0,0,0.02
PC,2014,RPG,0,0.01,0,0,0.02
PSV,2015,Adventure,0,0,0.02,0,0.02
PSV,2016,Adventure,0,0,0.02,0,0.02
PSV,2014,Adventure,0,0,0.02,0,0.02
PS4,2016,Shooter,0.01,0,0,0,0.02
PS3,2013,Adventure,0,0,0.02,0,0.02
PSV,2014,Simulation,0.01,0,0,0,0.02
PSV,2015,Strategy,0,0,0.02,0,0.02
PS3,2015,Adventure,0.01,0,0,0,0.02
X360,2014,Sports,0,0.01,0,0,0.01
3DS,2016,Fighting,0,0,0.01,0,0.01
PSV,2014,RPG,0,0,0.01,0,0.01
PSV,2016,Adventure,0,0,0.01,0,0.01
PSP,2014,Adventure,0,0,0.01,0,0.01
XOne,2015,Sports,0,0.01,0,0,0.01
PS4,2015,RPG,0,0.01,0,0,0.01
PC,2016,Strategy,0,0.01,0,0,0.01
X360,2013,Sports,0,0.01,0,0,0.01
3DS,2015,Simulation,0,0,0.01,0,0.01
PS3,2013,RPG,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
X360,2013,Shooter,0,0,0.01,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
XOne,2014,Adventure,0,0,0.01,0,0.01
PSV,2015,Adventure,0,0,0.01,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
PSV,2014,Platform,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
PS3,2013,Platform,0,0.01,0,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
PC,2013,Racing,0,0.01,0,0,0.01
X360,2014,Adventure,0.01,0,0,0,0.01
PSV,2016,Adventure,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
X360,2013,Shooter,0,0,0.01,0,0.01
PSV,2013,Adventure,0,0,0.01,0,0.01
PSV,2016,RPG,0,0,0.01,0,0.01
XOne,2015,Adventure,0,0.01,0,0,0.01
PSV,2016,Adventure,0,0,0.01,0,0.01
PS3,2016,Adventure,0,0.01,0,0,0.01
3DS,2013,RPG,0,0,0.01,0,0.01
PSV,2017,RPG,0,0,0.01,0,0.01
PC,2016,Racing,0,0.01,0,0,0.01
PS3,2014,Platform,0,0,0.01,0,0.01
WiiU,2016,Adventure,0,0.01,0,0,0.01
PSV,2015,Adventure,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
XOne,2016,Racing,0,0.01,0,0,0.01
PC,2015,Strategy,0,0.01,0,0,0.01
PSV,2016,Adventure,0,0,0.01,0,0.01
PS3,2015,Fighting,0,0,0.01,0,0.01
PSV,2014,Puzzle,0,0.01,0,0,0.01
PSV,2015,Strategy,0,0.01,0,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
3DS,2014,Adventure,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
PC,2016,Racing,0,0.01,0,0,0.01
WiiU,2015,RPG,0,0,0.01,0,0.01
PS4,2015,Adventure,0,0,0.01,0,0.01
PC,2016,Simulation,0,0.01,0,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
WiiU,2015,Puzzle,0,0,0.01,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
PC,2015,Strategy,0,0.01,0,0,0.01
PSV,2013,Adventure,0,0,0.01,0,0.01
X360,2015,Sports,0,0.01,0,0,0.01
PC,2016,RPG,0,0.01,0,0,0.01
PS3,2014,Fighting,0,0,0.01,0,0.01
PS3,2015,Adventure,0,0,0.01,0,0.01
3DS,2014,Adventure,0,0,0.01,0,0.01
XOne,2016,Simulation,0,0.01,0,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
PSV,2016,Adventure,0,0,0.01,0,0.01
PSV,2013,Adventure,0,0,0.01,0,0.01
PSP,2014,Adventure,0,0,0.01,0,0.01
PS3,2014,Adventure,0,0,0.01,0,0.01
PC,2015,Sports,0,0.01,0,0,0.01
3DS,2013,RPG,0,0,0.01,0,0.01
X360,2015,Racing,0,0.01,0,0,0.01
PC,2016,Strategy,0,0.01,0,0,0.01
3DS,2014,Puzzle,0,0.01,0,0,0.01
PSP,2014,Adventure,0,0,0.01,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
3DS,2015,Adventure,0,0,0.01,0,0.01
XOne,2016,Racing,0,0.01,0,0,0.01
X360,2014,RPG,0,0.01,0,0,0.01
PC,2016,Strategy,0,0.01,0,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
PSV,2014,Adventure,0,0,0.01,0,0.01
XOne,2016,Platform,0.01,0,0,0,0.01
PSV,2015,Platform,0,0.01,0,0,0.01
XOne,2016,Shooter,0.01,0,0,0,0.01
PS4,2016,Simulation,0,0.01,0,0,0.01
PSP,2013,Adventure,0,0,0.01,0,0.01
XOne,2016,Sports,0,0.01,0,0,0.01
